User_Id,Place_Id,Place_Ratings
1849,24,1.2
1029,40,1.1
4128,34,3.7
1410,36,3.1
4936,2,1.3
2405,6,2.9
2531,40,3.7
3726,37,2.2
3228,1,1.7
4745,12,3.1
4439,16,3.4
1352,16,3.0
3990,25,1.5
3061,40,1.2
2268,8,3.7
286,34,3.1
1926,36,2.8
3914,4,3.5
1532,16,4.6
606,3,2.5
3257,21,2.9
472,25,4.6
650,9,2.9
92,24,2.7
3560,27,1.6
1626,14,3.4
1551,3,3.7
3214,6,1.5
3296,18,1.8
3231,13,1.0
3627,14,3.6
1551,29,1.4
4229,38,4.9
4801,31,3.4
1203,13,3.4
3361,13,3.0
2551,19,4.1
4788,2,1.9
2939,5,3.9
1224,26,3.6
2471,12,4.7
887,40,1.1
1102,39,2.4
4346,37,3.4
3726,11,2.0
4213,6,3.5
836,12,4.2
2510,31,4.9
4369,7,1.9
753,19,4.4
4284,14,4.7
87,29,3.9
948,2,3.4
4410,2,4.0
983,24,3.1
605,23,3.1
694,1,3.8
633,11,2.3
456,23,1.4
1172,40,3.7
4846,30,2.3
2422,29,1.5
2281,9,2.0
3966,28,3.1
1194,27,1.4
2421,21,4.5
364,14,2.5
562,39,1.9
3550,40,2.8
2800,26,2.1
276,21,4.3
943,38,4.0
3688,15,1.6
1773,12,3.0
4442,18,1.0
4589,25,1.8
3876,20,4.9
1929,38,4.1
3835,15,4.6
2205,5,2.6
4545,22,2.6
643,13,2.0
4582,29,4.4
2534,9,2.9
4111,9,2.4
2595,25,3.1
1788,24,4.2
2938,5,1.5
3303,11,3.6
4251,10,3.9
2999,41,4.1
2732,26,2.4
3167,17,3.4
4401,36,1.1
2336,16,4.3
2373,20,2.5
2632,36,2.5
2122,10,4.3
141,18,1.6
3174,16,3.0
3912,40,1.4
1478,12,3.1
231,17,1.5
2387,3,5.0
1860,30,4.6
3900,30,3.5
3570,20,1.9
3163,12,2.7
2317,2,4.6
601,2,4.3
746,11,3.6
4088,17,1.8
3616,34,2.5
4777,40,1.8
2185,5,3.9
3335,16,4.4
280,31,2.3
2670,32,3.0
298,3,4.7
4429,6,1.4
2907,13,1.4
1777,20,1.2
91,25,4.1
1997,28,2.5
1456,38,1.1
2147,13,3.8
4288,16,1.7
2345,20,4.9
1727,18,2.9
1623,17,2.5
3333,25,3.0
2603,33,4.7
454,30,2.2
737,27,4.1
4487,21,3.5
2938,21,2.6
4359,27,3.7
4008,9,4.0
985,24,3.8
2515,31,2.5
179,35,4.5
943,40,2.5
238,12,3.5
4326,10,2.1
281,15,3.4
2532,22,2.4
4774,41,2.5
3751,10,2.6
776,37,1.3
445,30,3.8
3509,9,1.0
1088,25,1.2
328,14,3.3
3551,19,2.7
4764,16,4.3
1668,31,4.9
4902,7,2.4
939,23,4.9
3475,26,4.0
4374,19,4.6
1067,24,2.0
944,11,1.4
1732,8,4.0
2852,7,2.2
2227,40,3.5
3308,5,2.9
3664,10,1.7
2817,27,4.4
2195,4,1.0
4298,15,3.1
1954,25,3.5
3057,27,4.9
3572,37,2.4
674,5,2.9
4561,3,1.6
3345,31,1.4
644,16,2.4
2747,25,3.1
1412,25,1.8
681,3,2.6
4075,20,4.9
4209,15,4.2
4294,16,1.7
4042,26,4.1
3621,20,1.8
3005,19,3.2
3404,28,1.7
54,9,2.8
2980,39,3.3
3455,2,4.6
17,10,1.0
1290,5,3.5
934,39,3.6
2711,13,3.7
441,1,4.4
582,32,2.2
4214,19,2.9
2017,23,3.0
156,28,1.4
4339,16,3.7
3957,38,2.6
4771,34,3.6
2688,18,2.5
1313,41,1.1
2531,9,2.7
3637,37,1.5
1577,26,3.2
1527,25,1.2
1180,1,4.9
4027,40,1.1
3700,13,2.9
851,39,4.3
560,17,4.6
635,26,3.9
234,24,1.5
2696,30,4.8
2707,2,1.5
1176,6,3.8
3449,27,2.8
1995,10,3.3
4479,26,1.9
3587,32,3.4
2261,19,1.3
3283,39,3.0
1782,34,2.8
4519,11,4.5
218,8,2.6
2567,13,2.3
729,18,1.0
4009,4,1.1
2981,28,1.4
2827,1,3.3
4461,41,1.5
266,12,4.5
2477,33,3.9
6,31,4.6
3230,31,4.2
949,7,1.4
722,10,4.5
611,39,2.8
1510,38,1.3
4914,17,1.4
1203,16,4.2
1820,4,1.6
3654,18,2.6
265,7,3.5
1558,33,3.7
3508,35,4.7
2345,28,3.9
187,20,1.4
4542,34,2.2
211,11,4.3
1220,40,4.4
616,37,3.3
773,11,4.7
1625,37,2.6
63,40,1.6
4954,15,1.3
2738,24,2.9
3543,39,3.9
1315,19,3.4
2292,25,2.5
1901,26,3.2
2823,14,4.5
1680,9,4.3
4134,12,4.6
574,40,3.1
761,40,2.6
3987,29,3.6
3464,25,2.3
1768,14,1.9
1124,24,4.3
4863,25,2.3
3064,23,3.9
3951,41,4.1
3676,37,2.0
1964,30,1.6
466,38,4.5
3705,40,1.5
1479,20,4.2
1595,3,2.0
2198,6,4.5
4597,10,4.7
1676,36,4.2
2087,23,2.8
1419,21,2.2
2036,7,1.8
1479,24,2.1
3229,10,4.1
1143,24,3.7
1049,14,1.1
2122,25,5.0
1280,1,4.7
4598,7,4.8
1644,11,1.0
1431,7,3.9
96,11,1.4
3304,7,2.9
1036,22,3.2
4358,26,1.2
1273,20,3.2
3474,36,1.9
711,10,2.8
2837,35,4.9
194,17,4.7
1828,24,2.7
3529,21,2.1
505,18,3.0
1549,7,4.4
2200,14,4.7
2672,12,4.7
3350,12,2.5
3582,31,2.8
3327,36,3.9
3823,14,4.9
2151,7,4.5
3755,33,3.9
2088,13,2.1
729,38,3.9
1355,38,4.1
173,19,3.7
3562,38,1.7
1870,12,3.1
3283,1,3.6
1133,3,2.0
1012,2,1.6
4862,1,1.0
967,34,5.0
3892,4,3.1
4102,30,3.3
4174,5,4.7
328,35,4.5
1453,20,1.5
4233,21,1.0
3003,19,2.4
1622,28,3.1
1778,18,1.3
2892,7,3.1
2316,12,4.5
368,37,4.5
1318,34,1.5
2007,4,4.6
2434,12,3.4
1434,17,2.2
1961,37,1.9
1164,28,2.6
419,30,2.9
1497,26,1.1
4244,2,4.2
3079,12,2.4
2619,2,2.4
3630,20,4.8
2666,19,4.5
2856,27,1.0
1324,16,1.9
2063,36,2.1
1897,32,4.3
4970,17,3.1
2202,36,1.0
83,4,1.3
3967,40,3.8
1966,38,1.8
1235,5,1.6
364,30,3.8
4102,14,2.1
2495,10,3.9
4046,7,2.5
813,11,4.5
4398,35,2.7
4367,17,3.6
4240,24,2.0
1701,10,4.2
1047,37,1.3
4414,2,2.7
145,6,1.3
4928,39,3.5
604,7,2.1
557,14,2.5
744,17,4.2
3303,2,2.6
3155,16,3.8
1032,18,4.9
1407,26,3.9
510,40,2.2
2460,12,4.6
1077,33,2.8
1742,40,3.0
376,12,1.6
4207,7,2.0
252,33,3.6
1099,2,4.7
3226,16,4.2
2928,8,3.1
4000,1,1.7
82,19,1.5
3692,21,3.6
390,40,3.9
3493,37,2.6
5,19,1.9
1365,10,4.2
3595,29,1.3
3000,31,1.1
4808,34,4.2
1026,41,2.1
2769,30,2.6
2994,10,1.4
955,7,2.1
3439,5,2.8
3902,1,1.9
1341,22,3.7
2470,41,3.6
2655,36,3.0
1403,13,1.7
4696,34,4.7
1952,10,2.5
3297,30,2.8
2804,14,4.1
62,15,4.6
80,21,2.8
3280,38,3.4
1949,18,4.4
79,14,4.3
3023,26,3.0
771,26,2.4
3483,17,2.8
505,17,1.1
1046,22,4.7
3660,33,3.6
1716,1,3.0
910,9,4.7
3959,28,3.9
4688,25,4.0
3282,31,3.4
3341,28,2.6
4283,17,2.0
4366,18,4.8
2543,4,4.3
2906,4,3.0
2328,29,4.8
3068,35,2.6
942,21,3.9
1706,21,2.5
4672,22,2.0
2077,23,2.7
2058,11,4.1
241,11,2.9
4714,26,2.6
3507,39,3.5
4805,10,4.8
3686,2,4.0
11,36,3.8
465,38,2.5
4066,34,1.2
2242,20,1.2
4248,40,1.5
3458,22,1.6
3324,24,2.3
2604,25,3.0
4376,8,4.0
1593,28,2.4
3204,38,1.9
1388,23,1.8
489,27,1.6
775,37,1.0
1432,8,1.6
3074,1,1.5
3760,35,2.2
1713,37,4.4
3278,10,1.6
19,21,4.9
2633,25,4.0
3596,20,3.8
1487,32,1.3
2366,1,3.9
2030,12,1.5
4653,29,2.5
2141,20,2.2
1921,10,2.4
1176,13,3.5
3316,27,3.7
4818,9,3.1
3344,37,2.6
1508,2,4.5
3633,5,1.8
364,21,1.8
499,27,2.2
40,6,2.2
3681,19,2.4
1402,1,2.9
4231,20,1.8
1578,7,4.0
216,34,4.9
4953,14,1.8
1690,1,4.7
1056,22,4.1
4939,27,1.1
423,12,1.8
261,22,2.0
219,3,1.5
4007,18,3.7
310,9,4.9
720,13,3.5
655,33,2.7
1488,7,1.4
376,29,3.4
36,21,4.7
3646,17,4.4
4878,4,4.3
3623,14,1.3
3700,13,4.7
4451,24,1.8
1865,27,1.4
1643,18,2.4
4658,11,2.9
4724,14,4.7
4908,31,3.4
4219,13,3.9
3297,29,3.9
4077,29,4.0
4618,9,3.2
3174,14,4.6
633,26,3.9
4275,33,3.2
1284,11,3.8
203,25,1.7
2923,14,2.4
3694,11,2.7
114,7,2.1
4119,17,2.9
4548,26,1.5
4199,18,3.1
4950,40,1.9
2982,16,2.7
4335,39,3.8
3916,28,3.3
713,19,2.6
4226,38,2.4
2097,22,3.2
1245,16,1.3
2149,6,1.6
1250,32,2.9
1691,9,4.1
1342,40,3.6
1806,5,1.7
3312,5,2.2
1087,35,4.0
3812,13,2.5
300,32,2.6
4679,1,5.0
1945,27,3.9
4776,35,3.0
4458,21,2.6
259,9,4.1
4302,27,1.0
3006,20,2.2
442,34,4.0
2462,19,1.5
3877,36,3.3
585,31,1.5
4721,31,1.5
2742,19,2.3
3125,5,3.3
2627,13,1.3
606,15,2.9
3140,29,3.8
4719,20,2.8
1645,40,2.9
1615,8,4.5
2260,9,1.2
489,17,4.7
3716,27,5.0
3018,34,2.7
3408,14,1.8
2348,21,4.9
3996,27,3.4
4905,24,4.6
57,38,4.7
919,17,2.7
4819,34,2.6
4873,12,3.6
2589,7,1.9
1024,38,4.5
56,34,3.2
2210,11,2.7
4959,15,4.1
160,18,4.5
3969,4,4.0
565,37,3.4
4377,13,3.7
745,33,3.2
3984,7,4.2
3639,40,4.9
4046,6,4.9
3369,1,2.2
3823,28,4.5
919,14,1.5
3293,7,3.4
1668,23,1.6
1145,14,2.4
775,7,1.6
520,8,4.4
4820,37,4.6
4102,18,1.2
2777,19,3.9
914,32,4.4
2720,10,3.5
4550,3,1.8
2652,29,3.1
4824,4,3.6
4370,6,3.7
1658,21,3.2
2588,41,2.1
227,4,4.6
1409,32,2.1
3901,9,2.0
560,25,1.7
265,20,4.1
4405,8,2.2
1050,4,1.3
1364,14,1.3
563,7,4.5
2131,29,3.8
3394,34,3.2
3097,24,3.9
1358,38,3.8
1455,26,4.7
4588,26,4.6
3069,19,1.7
3229,5,4.7
4165,28,1.2
3479,6,2.1
3646,1,3.4
2487,23,2.5
1627,10,1.3
3788,14,2.6
2320,6,3.7
454,10,2.3
191,4,3.3
2414,11,2.4
3335,29,2.6
3576,12,3.0
2143,33,2.3
2728,40,3.5
3470,39,4.3
2382,32,1.5
1361,28,1.1
2406,2,4.5
2577,3,3.3
1226,2,1.3
4815,38,2.8
4294,9,4.9
2841,16,2.1
3652,34,4.7
1365,39,4.4
1893,37,4.0
3505,36,1.1
4143,29,1.4
771,33,2.3
2640,10,3.5
3450,32,2.8
39,41,1.3
3456,40,3.3
2930,22,5.0
3587,9,2.9
4397,3,1.1
1979,27,3.0
2335,25,3.9
3012,30,4.2
676,25,1.6
3328,36,1.1
4590,2,3.8
1836,35,2.3
2358,31,3.2
3189,35,3.5
2288,6,3.4
4254,7,4.9
3538,22,1.0
2369,3,1.8
302,31,3.0
4556,41,2.9
2573,17,1.8
4717,12,2.3
2756,6,1.8
3474,21,4.9
772,38,3.7
1158,15,4.5
716,39,2.7
3107,14,2.2
2037,2,3.5
412,28,4.5
1280,18,1.2
1921,27,2.6
4319,30,1.5
2500,29,1.5
866,2,3.7
4206,5,3.4
906,39,2.2
2177,13,3.9
4714,37,2.2
2455,25,1.4
2835,1,4.3
2174,39,1.9
2165,22,1.0
366,1,1.2
1100,30,4.0
3474,22,3.7
2287,24,3.0
11,27,3.0
1232,25,2.7
460,22,4.9
3212,33,3.2
1143,30,3.6
136,13,4.8
4435,34,3.9
4535,12,4.7
2159,24,2.7
2629,23,1.9
645,17,3.8
1120,13,4.0
2291,7,3.0
4057,9,2.6
3318,11,2.3
3418,17,1.2
4377,40,4.9
3481,1,2.8
4670,33,3.9
556,35,2.3
1315,9,2.6
3853,10,3.8
2778,40,1.3
2334,14,3.0
1926,12,4.7
3453,16,4.2
3762,31,3.1
1831,22,4.1
4307,37,1.5
288,28,2.5
1960,5,2.4
1792,7,4.4
1385,14,3.2
3406,41,3.0
2795,33,2.0
2581,5,2.3
2489,27,2.2
2174,26,4.4
4233,11,1.6
3733,29,2.8
2440,12,4.6
4352,28,1.1
600,16,2.4
4987,38,3.2
4353,32,4.5
3572,5,4.0
33,15,3.6
466,31,3.9
3103,31,2.0
3978,26,1.6
828,31,2.1
4232,33,3.1
1150,39,2.8
1648,8,3.3
411,29,4.2
4745,11,3.9
2218,6,3.2
3470,10,4.2
4216,2,1.2
1218,23,2.3
3002,38,3.8
1078,19,1.0
4456,28,5.0
1491,23,1.5
3160,18,3.9
2549,17,4.0
3944,19,3.6
4476,15,4.6
2594,24,4.7
620,22,1.4
2390,30,5.0
2507,30,2.7
2967,36,2.9
1338,23,4.5
12,16,2.9
2166,30,3.9
2832,2,2.6
339,35,2.8
452,40,2.6
3064,13,4.2
4062,19,1.6
4163,37,3.9
3625,2,4.0
4022,25,3.4
1205,4,1.8
3246,8,1.5
8,10,1.9
4648,13,2.6
2464,34,2.3
2240,9,2.1
4822,9,1.9
303,6,1.9
949,28,4.0
4920,3,2.2
922,30,3.0
3131,19,3.2
4751,7,2.5
3762,41,5.0
1667,8,4.7
2240,17,1.4
4902,26,2.4
3991,40,1.6
4355,8,3.1
138,27,4.6
1781,13,2.7
1082,40,1.9
554,29,3.6
630,41,1.4
4045,30,3.2
1375,20,1.1
1314,33,1.7
1629,8,1.3
4614,32,4.8
4220,22,4.1
3698,13,1.4
828,41,4.1
1437,27,1.2
2078,36,2.0
1912,27,3.6
4294,11,4.4
2058,10,2.1
4672,31,4.9
4596,39,5.0
4557,28,2.5
3985,24,3.8
541,21,1.2
4809,8,2.4
4862,10,2.8
1619,40,3.2
897,16,5.0
3066,9,3.4
2441,10,4.9
1386,3,2.6
1848,24,2.2
4854,20,2.1
2616,29,4.6
4402,33,2.8
761,14,1.2
1850,31,4.7
147,12,1.8
4788,32,1.2
4760,16,4.5
3069,20,2.0
1087,37,1.3
1156,2,3.3
1724,25,1.6
2852,27,4.1
2768,21,1.7
2824,27,1.3
4320,8,1.3
3773,5,1.7
434,37,2.4
802,41,2.1
3918,28,2.1
2635,5,3.9
3538,17,1.9
320,7,4.0
200,1,4.0
4763,6,3.8
3238,16,3.0
3787,38,1.9
3494,4,1.1
266,10,1.1
4915,18,4.0
1782,4,2.5
3181,8,4.9
2213,36,1.6
598,39,4.7
1131,28,5.0
1803,27,4.2
415,23,1.9
3429,13,3.9
414,17,2.8
4245,19,1.8
2433,27,3.4
2602,23,1.2
2165,24,2.4
3014,36,1.6
2940,17,1.1
2144,29,4.6
211,31,4.6
4024,16,4.2
2823,15,2.7
132,16,4.3
2982,16,1.8
4728,19,3.3
586,6,2.8
2004,31,1.4
4929,40,1.7
1610,6,1.2
4077,4,2.8
2037,34,2.5
3934,29,2.6
235,36,1.7
1597,31,1.6
173,22,4.9
3020,3,1.7
1247,22,3.6
1970,4,1.2
4431,37,1.1
421,4,2.9
2179,14,4.3
2605,38,1.7
21,27,2.8
2914,3,4.2
3584,20,3.9
2265,41,3.3
2667,14,2.7
4062,28,2.2
919,15,1.4
3869,38,2.3
864,13,4.4
194,12,1.8
2532,3,2.6
1303,22,4.5
2634,9,3.8
3521,32,4.3
4963,8,3.0
124,19,3.3
326,16,2.6
4397,19,1.5
4951,16,2.4
4171,7,1.2
1519,9,1.6
4226,35,4.7
3069,41,2.6
2525,29,4.9
2253,25,1.9
3742,21,4.2
4449,18,4.9
4729,21,4.5
2398,15,4.1
3631,3,4.8
4016,2,3.1
2575,37,1.7
1100,12,4.0
2330,41,3.3
104,14,2.4
3322,27,4.6
3869,32,4.0
3555,34,5.0
459,18,1.4
3471,2,3.1
2951,15,2.5
3895,17,2.9
4166,39,4.7
2245,8,4.6
2980,7,2.4
1318,10,1.6
3933,22,4.9
3159,37,2.7
4230,31,4.4
3385,17,3.8
4367,35,3.4
1713,35,2.1
3397,15,4.8
2976,3,1.2
1084,19,4.3
1506,18,2.2
3320,26,5.0
925,38,4.2
3599,1,1.1
1758,21,2.8
1722,19,4.9
3545,9,1.5
2566,16,2.8
4573,22,3.6
1154,11,1.9
3976,39,4.2
2093,27,1.0
418,9,1.7
3928,20,1.7
2719,15,4.3
3752,15,2.1
229,20,2.6
2472,13,3.6
3523,26,1.8
2899,32,3.5
1674,17,2.2
772,36,4.2
1363,5,2.2
134,8,3.4
2886,2,4.2
4274,29,3.5
3834,3,1.4
4523,26,2.6
2894,18,3.7
3612,28,1.7
4920,21,4.2
2774,25,4.7
157,40,3.7
4052,39,2.1
1580,34,2.8
566,16,3.5
4607,24,3.8
2308,5,1.0
2137,8,3.7
3965,35,2.0
1079,8,1.7
3434,40,1.8
344,11,1.4
56,38,4.4
1858,24,1.0
1459,39,3.6
2476,35,4.7
2098,6,4.7
3947,27,2.1
1552,12,1.5
1757,21,1.7
4362,21,3.3
1069,31,2.3
1554,13,3.9
2439,11,2.8
2788,30,2.2
1849,17,3.1
4832,16,2.8
4141,18,3.1
1028,15,4.6
1340,18,4.7
4546,2,1.2
3096,15,4.8
3672,24,4.4
2052,40,4.4
3929,4,4.6
4362,33,2.6
2790,17,5.0
492,10,4.0
577,3,4.6
3261,38,1.1
3174,34,2.9
4141,31,4.2
2328,1,2.1
4958,9,1.1
3972,4,1.1
1586,40,4.4
4714,16,1.6
661,33,2.3
1780,12,4.4
1643,8,1.4
2187,32,2.3
4285,16,3.0
3541,36,4.0
2489,16,3.1
2072,41,1.1
601,33,3.0
467,23,3.5
1756,36,3.4
322,9,4.7
4664,27,2.0
4669,9,4.6
3444,11,2.4
3625,34,4.2
2522,21,3.9
1566,33,2.7
2460,29,3.7
1018,12,2.1
406,32,1.7
75,20,4.5
4188,36,2.5
2355,8,4.5
190,24,3.3
3791,9,4.7
1811,25,3.1
3533,1,3.5
3429,1,1.4
1365,14,4.7
3627,4,4.8
2750,14,3.0
4901,25,4.4
1495,23,2.4
1486,33,3.0
4504,32,1.0
1338,1,4.1
4627,36,2.8
56,11,3.3
414,4,1.0
2502,41,3.1
822,1,1.3
2067,17,1.8
423,4,3.5
3843,41,4.7
1791,18,3.7
2038,6,2.7
1868,19,4.6
1237,27,3.9
4558,16,1.6
2248,18,2.0
4198,15,2.4
3906,28,1.2
4104,2,3.7
4023,26,3.5
2629,28,4.3
397,29,2.7
4464,23,3.1
1262,27,4.6
601,41,1.4
4493,9,4.8
869,34,1.3
4040,17,4.8
2088,25,4.7
3621,32,4.6
2474,34,2.9
4965,24,4.7
2895,31,3.6
378,41,3.8
1319,24,2.3
3768,10,3.8
3505,11,1.1
115,23,1.9
4839,25,3.0
4731,21,2.8
3634,29,4.0
2950,6,1.6
4241,33,4.8
3814,14,2.0
1092,22,4.7
2165,21,1.0
3323,25,2.2
1996,23,3.4
3312,28,2.7
1517,19,2.8
4532,25,2.0
3868,32,2.5
1394,33,4.6
4467,23,4.7
662,4,1.5
3033,40,2.8
949,12,2.6
114,13,1.1
2682,32,3.9
2630,40,3.1
800,18,2.9
3187,9,2.7
1305,41,1.0
1967,24,1.2
216,34,2.4
4626,2,1.8
920,14,1.7
3800,32,3.1
67,17,3.2
2562,27,4.0
3705,6,1.7
863,39,1.8
3610,16,2.7
4881,14,2.0
3326,2,4.3
2464,16,3.3
3293,19,3.3
3035,35,2.0
1425,27,3.4
4582,24,2.5
1605,24,3.7
1588,1,3.8
71,9,4.7
3957,21,1.1
2689,23,2.0
2180,20,3.7
1967,10,1.8
4163,8,4.8
4876,31,1.9
2212,28,2.6
1391,17,1.8
209,3,3.1
2595,39,3.3
4652,29,2.6
1983,13,1.8
3003,2,2.3
2234,3,4.4
2330,41,1.9
2893,13,1.0
4498,4,3.9
2184,9,1.8
3574,13,4.7
3307,14,3.4
964,3,1.6
3699,34,4.1
1642,5,3.0
1430,32,4.4
1709,2,4.2
4230,21,1.6
1551,27,4.1
449,3,4.7
853,20,4.1
2345,23,3.2
1634,4,2.2
3180,17,2.7
3231,15,4.9
3699,5,2.0
1760,12,1.4
483,23,2.7
2857,35,3.7
4742,22,3.8
4832,9,4.0
3880,26,1.2
4906,32,4.3
242,39,3.1
395,13,2.9
2484,24,4.1
1293,5,3.2
140,16,2.0
1804,6,3.8
2472,19,1.6
1232,40,2.3
4947,34,4.5
4867,34,2.5
1018,34,2.6
4716,19,4.0
2632,11,1.7
3505,35,4.0
284,7,1.5
3463,27,4.8
835,7,3.2
2946,24,1.6
2382,17,4.2
4273,25,1.4
453,41,4.5
2223,3,1.6
796,14,1.0
1589,2,3.7
2389,27,3.6
3839,39,3.6
253,10,3.0
4388,41,4.8
3460,14,3.6
3230,31,3.7
855,6,4.7
591,39,2.3
3652,30,1.1
3481,29,2.6
1400,20,1.9
1838,10,4.2
2744,33,1.1
4704,30,4.4
3804,33,4.9
4275,30,2.5
4408,39,2.7
1241,39,1.9
4913,40,3.5
3541,15,2.4
3478,2,3.7
765,30,4.4
4320,39,3.3
2650,11,4.2
4750,22,3.0
3923,30,1.2
1047,7,3.1
1776,21,1.1
4753,31,3.2
4691,16,3.9
2924,38,4.8
3244,8,4.5
4810,22,2.9
4800,41,4.3
3618,29,2.2
2917,40,1.2
4162,37,2.2
2822,31,1.0
1995,19,3.7
3924,39,4.5
501,5,1.5
3280,1,3.4
4769,18,1.3
1210,21,2.1
3710,6,4.4
3762,32,3.2
3439,5,3.0
1219,14,2.9
749,27,2.7
2627,17,4.5
1413,37,4.5
1119,31,4.1
2370,33,1.7
594,26,4.5
3664,1,3.9
2350,40,4.8
1982,24,2.8
474,5,3.9
610,21,1.0
2999,36,4.4
1266,36,4.1
1099,2,2.8
3307,36,2.2
1428,38,2.3
3325,40,2.0
3478,34,2.1
4198,14,4.9
4577,14,2.5
3780,31,2.4
474,17,2.0
4548,14,5.0
3013,26,3.8
24,35,2.5
4553,41,3.1
1277,20,4.6
3665,37,2.4
1312,40,4.6
4778,14,4.2
4597,15,2.4
2693,8,3.3
646,21,4.7
2173,40,1.8
2305,7,3.2
4752,13,1.5
1615,36,3.4
1109,35,2.6
3612,8,4.5
1334,27,1.9
4817,11,3.3
1306,13,2.6
2177,35,3.0
4768,12,4.5
3825,35,1.0
3528,38,4.7
1728,15,1.2
4691,14,3.2
3331,33,4.9
2263,37,4.3
380,7,1.3
412,35,4.8
3065,3,3.5
1673,7,1.2
2211,16,4.3
1713,12,4.5
3810,39,3.8
4282,26,3.3
4482,34,1.8
2312,2,3.7
2570,12,4.5
4702,39,2.1
2672,24,4.6
3950,40,3.2
284,27,1.9
4863,6,3.0
8,31,2.5
130,19,2.6
1576,23,4.3
3362,18,3.3
1699,7,1.5
2292,6,4.1
66,10,1.7
4501,5,2.5
2168,6,1.5
1663,37,2.3
2752,35,1.2
863,24,4.7
4592,8,1.7
2839,26,2.3
1048,17,3.6
1522,28,3.7
2113,12,2.1
4535,37,3.6
943,15,2.6
3797,30,3.4
645,31,3.5
687,36,2.4
4687,8,1.6
2759,7,3.0
1356,15,1.4
807,20,1.6
2800,27,2.1
1723,40,4.8
1705,6,4.7
2700,8,2.0
1805,16,4.5
4324,8,3.6
4855,17,4.8
2729,22,3.4
1615,30,4.4
2935,19,4.9
3256,4,1.1
4592,9,1.5
4214,30,1.8
4992,15,3.1
4040,28,4.8
3879,19,1.1
4756,4,2.8
1723,22,3.5
300,37,2.5
1043,30,1.4
1260,23,4.1
866,9,3.7
2641,9,2.7
192,29,1.9
2438,23,1.3
2074,32,4.3
3217,40,2.5
3321,16,3.3
1624,38,2.6
1951,13,3.8
1446,31,1.3
1231,21,2.8
2549,33,4.3
1334,5,4.2
1091,32,4.5
2398,13,4.3
1651,33,3.9
186,7,2.0
1332,23,1.6
3581,9,2.9
4709,41,1.1
3564,37,2.3
4122,7,4.0
4199,3,1.8
4592,5,3.4
3712,18,3.0
3300,38,3.1
4614,40,3.1
798,27,4.1
4993,13,1.6
3268,2,2.9
1783,38,2.7
2454,12,1.2
4513,2,1.4
3912,25,3.3
2711,39,1.5
947,34,3.1
4741,27,3.0
2751,12,4.6
