Place_id,Place_name,Category,Address,Latitude,Longitude,Description,Image_URL
11,Wakatobi,Kota,"Kabupaten Wakatobi, Sulawesi Tenggara, Indonesia",-5.49949,123.89156,"Wakatobi adalah akronim dari empat pulau di Sulawesi Tenggara, yaitu Wangi-wangi, Kaledupa, Tomia, dan Binongko,yang terkenal sebagai destinasi selam kelas dunia dengan terumbu karang yang kaya dan biodiversitas laut yang tinggi.",https://getlost.id/wp-content/uploads/2020/02/wakatobi_1245817747-1024x682.jpg
12,Makassar,Kota,"Makassar, Sulawesi Selatan, Indonesia",-5.15354,119.43593,"Makassar adalah ibu kota Provinsi Sulawesi Selatan yang dikenal sebagai kota pelabuhan dengan sejarah maritim yang kuat. Kota ini memiliki berbagai destinasi wisata seperti Pantai Losari, Benteng Rotterdam, serta kuliner khas seperti Coto Makassar dan Konro.",https://assets.universitas123.com/images/14459/sinta-ag-142-daftar-rekomendasi-universitas-yang-ada-di-makasar-serta-keunggulannya.jpg
13,Tanjung Puting,Taman Nasional,"Taman Nasional Tanjung Puting, Teluk Pulai, Kumai, Kabupaten Kotawaringin Barat, Kalimantan Tengah, Indonesia",-2.98237,111.91481,Tanjung Puting adalah taman nasional di Kalimantan Tengah yang terkenal sebagai habitat orangutan dan ekosistem hutan hujan tropis. Kawasan ini menawarkan ekowisata dengan perjalanan menyusuri Sungai Sekonyer menggunakan klotok untuk mengamati satwa liar.,https://www.gemasulawesi.com/storage/photos/362021743_594396306048327_307343655917341407_n-1-1.jpeg
14,Banjarmasin,Kota,"Banjarmasin, Kalimantan Selatan, Indonesia",-3.30865,114.59077,"Banjarmasin adalah ibu kota Kalimantan Selatan yang dikenal sebagai Kota Seribu Sungai. Kota ini terkenal dengan Pasar Terapung di Sungai Barito, wisata susur sungai, serta kuliner khas seperti Soto Banjar.",https://indonesiakaya.com/wp-content/uploads/2023/05/Menara-Pandang-Banjarmasin-5.jpeg
15,Balikpapan,Kota,"Balikpapan, Kalimantan Timur, Indonesia",-1.22403,116.85203,"Balikpapan adalah kota di Kalimantan Timur yang dikenal sebagai pusat industri dan bisnis, serta gerbang menuju Ibu Kota Nusantara (IKN). Kota ini memiliki pantai indah seperti Pantai Kemala dan Pantai Lamaru, serta terkenal dengan konservasi beruang madu di Samboja Lestari.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/239/2024/04/21/Balikpapan-Surga-Tersembunyi-di-Kalimantan-Timur-1342182733.jpg
16,Samarinda,Kota,"Samarinda, Kalimantan Timur, Indonesia",-0.48739,117.14194,"Samarinda adalah ibu kota Kalimantan Timur yang terkenal dengan Sungai Mahakam, sebagai jalur transportasi utama. Kota ini memiliki ikon wisata seperti Jembatan Mahakam, Masjid Islamic Center, dan budaya khas suku Dayak.",https://investasiproperti.id/wp-content/uploads/2023/11/kelebihan-tinggal-di-samarinda-800x511.jpg
17,Raja Ampat,Kota,"Kabupaten Raja Ampat, Papua Barat, Indonesia",-0.91094,130.50944,"Raja Ampat adalah kepulauan di Papua Barat yang terkenal sebagai salah satu destinasi selam terbaik di dunia. Dikenal dengan keanekaragaman hayati lautnya yang luar biasa, kawasan ini memiliki perairan jernih, terumbu karang yang indah, serta pemandangan pulau-pulau karst yang eksotis.",https://www.papuaexplorers.com/wp-content/uploads/2016/07/Wayag3.jpg
18,Wamena,Kota,"Wamena, Kabupaten Jayawijaya, Papua, Indonesia",-4.09135,138.94618,"Wamena adalah kota di Papua Pegunungan yang dikenal sebagai pintu gerbang menuju Lembah Baliem, pusat budaya suku Dani. Kota ini menawarkan keindahan alam pegunungan, tradisi unik, serta festival budaya seperti Festival Lembah Baliem.",https://www.indonesia-tourism.com/west-papua/wamena/images/baliem_valley.jpg
19,Jayapura,Kota,"Jayapura, Papua, Indonesia",-2.58932,140.66909,"Jayapura adalah ibu kota Provinsi Papua yang terletak di pesisir utara Pulau Papua. Kota ini memiliki pemandangan alam yang indah, seperti Danau Sentani dan Pantai Base-G, serta menjadi pusat pemerintahan dan ekonomi di Papua.",https://www.batiqa.com/upload/news/z/ilustrasi-kota-jayapura_z4fo6.jpg
20,Biak,Pulau,"Biak, Papua, Indonesia",-1.01041,135.97762,"Biak adalah sebuah pulau di Papua yang terkenal dengan keindahan pantainya, sejarah Perang Dunia II, dan keanekaragaman hayati lautnya. Pulau ini memiliki destinasi wisata seperti Pantai Bosnik, Goa Jepang, serta perairan jernih yang cocok untuk snorkeling dan diving.",https://asset.kompas.com/crops/SIeVg_sYMXgQhklAm_l2o7WOAJs=/85x0:930x563/1200x800/data/photo/2023/06/10/648418b43d3df.jpg
21,Gili Trawangan,Pulau,"Gili Trawangan, Gili Indah, Pemenang, Kabupaten Lombok Utara, Nusa Tenggara Barat, Indonesia",-8.34725,116.03839,"Gili Trawangan adalah pulau kecil di Lombok, Nusa Tenggara Barat, yang terkenal dengan pantai berpasir putih, kehidupan bawah laut yang kaya, serta suasana bebas kendaraan bermotor. Pulau ini menjadi destinasi favorit untuk snorkeling, diving, dan wisata malam.",https://2cupsoftravel.com/wp-content/uploads/2023/11/DJI_0386-1200x900.jpg
22,Rinjani,Gunung,"Gunung Rinjani, Sembalun Lawang, Sembalun, Kabupaten Lombok Timur, Nusa Tenggara Barat, Indonesia",-8.41008,116.45722,"Rinjani adalah gunung berapi tertinggi kedua di Indonesia, terletak di Pulau Lombok, Nusa Tenggara Barat. Dikenal dengan pemandangan spektakuler, pendakian menantang, serta Danau Segara Anak di kawahnya yang menjadi daya tarik utama.",https://shelterjelajah.com/wp-content/uploads/2024/01/Taman-Nasional-Gunung-Rinjani.jpeg.webp
23,Pantai Kuta,Pantai,"Pantai Kuta, Kuta, Kabupaten Badung, Bali, Indonesia",-8.71427,115.16844,"Pantai Kuta adalah salah satu pantai paling terkenal di Bali, terkenal dengan pasir putihnya, ombak yang cocok untuk berselancar, serta pemandangan matahari terbenam yang indah. Pantai ini juga dikelilingi oleh berbagai pusat hiburan, restoran, dan penginapan.",https://www.gotravelaindonesia.com/wp-content/uploads/Pantai-Kuta-Bali-beach.jpg.webp
24,Senggigi,Pantai,"Senggigi, Batu Layar, Kabupaten Lombok Barat, Nusa Tenggara Barat, Indonesia",-8.47862,116.03757,"Senggigi adalah pantai terkenal di Lombok, Nusa Tenggara Barat, yang menawarkan pasir putih, air laut jernih, serta pemandangan matahari terbenam dengan latar Gunung Agung. Destinasi ini cocok untuk berenang, snorkeling, dan menikmati suasana pantai yang tenang.",https://mediaim.expedia.com/destination/2/592e97d39f8902696ba756afb9fdc426.jpg
25,Ubud,Kota,"Ubud, Kabupaten Gianyar, Bali, Indonesia",-8.50661,115.26242,"Ubud adalah kawasan di Bali yang terkenal sebagai pusat seni, budaya, dan alam. Dikelilingi oleh sawah terasering, hutan, serta pura kuno, Ubud menawarkan pengalaman spiritual, seni tradisional, dan wisata alam yang menenangkan.",https://www.viceroybali.com/wp-content/uploads/2024/10/the-best-day-trips-from-ubud-1.png
26,Tanah Lot,Pura,"Tanah Lot, Beraban, Kediri, Kabupaten Tabanan, Bali 82121",-8.62067,115.08665,"Tanah Lot adalah salah satu pura ikonik di Bali yang terletak di atas batu karang di tepi laut. Dikenal dengan pemandangan matahari terbenam yang spektakuler, tempat ini merupakan destinasi wisata religi dan budaya yang populer.",https://ik.imagekit.io/tvlk/blog/2024/09/shutterstock_725111986.jpg
27,Sanur,Kota,"Sanur, Denpasar Selatan, Kota Denpasar, Bali, Indonesia",-8.69468,115.26301,"Sanur adalah kawasan wisata di Bali yang terkenal dengan pantai berpasir putih, ombak tenang, serta suasana yang lebih santai dibandingkan Kuta. Cocok untuk menikmati matahari terbit, snorkeling, dan wisata keluarga.",https://cove-blog-id.sgp1.cdn.digitaloceanspaces.com/cove-blog-id/2022/10/pantai-sanur.webp
28,Labuan Bajo,Kota,"Labuan Bajo, Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Timur, Indonesia",-8.44973,119.87247,"Labuan Bajo adalah kota di Nusa Tenggara Timur yang menjadi gerbang menuju Taman Nasional Komodo. Dikenal dengan keindahan lautnya, pulau-pulau eksotis, serta wisata bahari seperti diving, snorkeling, dan melihat komodo di habitat aslinya.",https://indonesiajuara.asia/wp-content/uploads/2023/11/alasan-ke-labuan-bajo.webp
29,Pantai Pink,Pantai,"Pantai Pink, Sekaroh, Jerowaru, Kabupaten Lombok Timur, Nusa Tenggara Barat, Indonesia",-8.85535,116.56226,"Pantai Pink adalah pantai unik di Taman Nasional Komodo, Nusa Tenggara Timur, yang terkenal dengan pasir berwarna merah muda akibat pecahan karang merah. Pantai ini menawarkan air jernih, terumbu karang yang indah, serta cocok untuk snorkeling dan bersantai.",https://asset.kompas.com/crops/9TSXq5xBB_ypGKkBREPvjmIsFPw=/0x207:897x805/1200x800/data/photo/2023/11/08/654baaecd0f92.jpg
30,Rinca Island,Pulau,"Rinca, Pasir Panjang, Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Timur, Indonesia",-8.71638,119.65988,"Rinca Island adalah bagian dari Taman Nasional Komodo, Nusa Tenggara Timur, yang terkenal sebagai habitat komodo liar. Pulau ini menawarkan trekking dengan pemandangan savana dan bukit, serta kesempatan untuk melihat satwa liar lainnya seperti rusa dan burung eksotis.",https://asiantrails.b-cdn.net/wp-content/uploads/2022/01/indonesia-full-day-rinca-and-padar-komodo-adventure-3-final.jpg
31,Ambon,Kota,"Ambon, Maluku, Indonesia",-3.63345,128.16871,"Ambon adalah ibu kota Maluku yang dikenal sebagai Kota Musik Dunia dengan kekayaan budaya dan sejarah maritim. Kota ini memiliki pantai indah seperti Pantai Natsepa, wisata sejarah Benteng Amsterdam, serta kuliner khas seperti rujak Natsepa dan papeda.",https://cdn0-production-images-kly.akamaized.net/Cm2I-WlJo0qpQYhoupNCbY6CjVc=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/1706292/original/045410500_1505110951-2.jpg
32,Ternate,Kota,"Ternate, Maluku Utara, Indonesia",0.80396,127.35991,"Ternate adalah kota di Maluku Utara yang terkenal dengan sejarah Kesultanan Ternate, serta dikelilingi oleh gunung berapi dan pantai eksotis. Destinasi ini memiliki peninggalan sejarah seperti Benteng Oranje, serta keindahan alam seperti Danau Tolire dan Pantai Sulamadaha.",https://halmaherapost.com/wp-content/uploads/2021/02/Land-Mark-e1620790248902.jpg
33,Banda Neira,Pulau,"Banda Neira, Kampung Baru, Banda, Kabupaten Maluku Tengah, Maluku, Indonesia",-4.51585,129.90397,"Banda Neira adalah pulau di Kepulauan Banda, Maluku, yang terkenal dengan sejarah perdagangan rempah-rempah serta keindahan bawah lautnya. Pulau ini memiliki peninggalan sejarah seperti Benteng Belgica dan menjadi destinasi favorit untuk diving dan snorkeling.",https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/rsfit19201280gsm/events/2024/01/18/dd9501d4-2528-4219-a75c-79a4af046d20-1705548753965-d91ec5929f44530c6aef0f6c4a9b5529.png
34,Batam,Kota,"Batam, Kota Batam, Kepulauan Riau, Indonesia",1.13012,104.05293,"Batam adalah kota di Kepulauan Riau yang dikenal sebagai pusat industri, perdagangan, dan pariwisata. Terletak dekat dengan Singapura, Batam menawarkan wisata belanja, pantai seperti Nongsa, serta kuliner seafood yang terkenal.",https://images.ctfassets.net/dsbipkqphva2/2smyyQyDiZByTCvpelNrQo/f0e144ce8c3d76c3c806fb3b64e2fe2f/batam.webp
35,Bintan,Pulau,"Pulau Bintan, Kepulauan Riau, Indonesia",1.13864,104.42562,"Bintan adalah pulau di Kepulauan Riau yang terkenal dengan resor mewah, pantai berpasir putih, serta lapangan golf kelas dunia. Pulau ini juga memiliki wisata alam, budaya, dan sejarah seperti Gurun Pasir Busung dan Vihara Avalokitesvara.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/516644183.jpg?k=5d7fe2ab85628c6fc6a1f692d42d08346d096ea4348c29cd910789146453284e&o=&hp=1
36,Anambas,Pulau,"Kabupaten Kepulauan Anambas, Jemaja, Kabupaten Kepulauan Anambas, Kepulauan Riau, Indonesia",3.1077,105.65352,"Anambas adalah kepulauan di Kepulauan Riau yang dikenal dengan pantai berpasir putih, air laut jernih, serta terumbu karang yang indah. Destinasi ini cocok untuk snorkeling, diving, dan wisata bahari dengan suasana yang masih alami.",https://cdn0-production-images-kly.akamaized.net/d8Z6C-RlnI7U45uJHOhp51-sFaE=/500x667/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3051097/original/057879100_1581744986-anambas.jpg
37,Lingga,Kota,"Kabupaten Lingga, Kepulauan Riau, Indonesia",-0.46432,104.42571,"Lingga adalah kabupaten di Kepulauan Riau yang dikenal dengan sejarah Kesultanan Riau-Lingga serta keindahan alamnya. Wilayah ini memiliki gunung, pantai, dan situs budaya seperti Istana Damnah dan Masjid Jami Sultan Lingga. ",https://assets.pikiran-rakyat.com/crop/0x0:0x0/750x500/photo/2024/03/29/3916547444.jpg
38,Pantai Marosi,Pantai,"Pantai Marosi, Jln. Marosi, Patiala Bawa, Kec. Lamboya, Kabupaten Sumba Barat, Nusa Tenggara Timur.",-9.76212,119.31442,"Pantai Marosi adalah pantai eksotis di Sumba Barat, Nusa Tenggara Timur, yang terkenal dengan pasir putih, ombak besar, dan pemandangan alam yang masih alami. Pantai ini cocok untuk berselancar, bersantai, dan menikmati matahari terbenam.",https://backpackerjakarta.com/wp-content/uploads/2017/11/pantai-marosi.jpg
39,Waikabubak,Kota,"Kota Walkabubak, Kabupaten Sumba Barat, Nusa Tenggara Timur, Indonesia",-9.62339,119.41069,"Waikabubak adalah ibu kota Kabupaten Sumba Barat, Nusa Tenggara Timur, yang dikenal dengan budaya megalitik, desa adat tradisional, dan rumah-rumah beratap tinggi khas Sumba. Kota ini juga menjadi gerbang menuju berbagai destinasi wisata alam dan budaya di Sumba.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/c4/2f/32/photo0jpg.jpg?w=500&h=500&s=1
40,Sumbawa Besar,Kota,"Sumbawa Besar, Seketeng, Sumbawa, Kabupaten Sumbawa, Nusa Tenggara Barat, Indonesia",-8.50383,117.42849,"Sumbawa Besar adalah ibu kota Kabupaten Sumbawa, Nusa Tenggara Barat, yang dikenal dengan keindahan alam, pantai eksotis, serta budaya lokal yang kuat. Kota ini menjadi pintu gerbang menuju destinasi seperti Pulau Moyo dan Pantai Lawar.",https://kalokahotel.com/wp-content/uploads/2019/05/kaloka_paketkenawatour_01-891x595.jpg
41,Pulau Komodo,Pulau,"Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Timur, Indonesia",-8.57611,119.44103,"Pulau Komodo adalah bagian dari Taman Nasional Komodo di Nusa Tenggara Timur, terkenal sebagai habitat asli komodo. Pulau ini menawarkan wisata alam berupa trekking, pantai indah, serta keanekaragaman hayati laut yang kaya untuk snorkeling dan diving.",https://asset.kompas.com/crops/vdZhnhd65omILwbPWGk6C_Vdsp0=/0x0:780x520/1200x800/data/photo/2019/09/26/5d8c64544d656.jpg
